name,scholarshipType,applicationRequired,description,quantity,preference,faculty,gender,year,disability,indigenous,race,nationality,gpa,amount,gpaBased,medalsPrizes
Aaron Learmont Memorial Scholarship,In-Course,TRUE,"One scholarship of $1,000 is awarded to an academically outstanding undergraduate student entering third or fourth year in the Department of Political Science. Preference is given to a student with demonstrated financial need. Approval of the recipient will be made by the Senate Committee on Awards based upon the recommendation of the Department of Political Science.",1,Financial Need,Political Science,N/A,03-Apr,No,No,N/A,N/A,0,1000,FALSE,FALSE
Arscott Family Fund Scholarship*,In-Course,TRUE,"One or more scholarships of $30,000, payable at $7,500 per year, are awarded to undergraduate students entering or transferring into the University of Victoria from Canadian secondary schools, colleges or universities and who:• are Canadian citizens or permanent residents,• have demonstrated financial need, and• submit a one-page (500 word) essay on the ""Value of Education"": students are encouraged to think about the ""why"" behind their desire to further their education and the broader impact it will have in the future.To be automatically renewed a student must have completed a total of 12 or more academic units in any two terms of study between May and April and maintained a grade point average of 7.50/9.00 or higher on the best 12 units. The scholarship is automatically renewed for each year of the student's full-time study until completion of a first degree or for a maximum of three years, whichever is the shorter period. A student whose grade point average falls below 7.50/9.00 may file a written appeal with the Senate Committee on Awards to seek special consideration for the renewal of the scholarship.Students registered in a co-op or work experience work-term will automatically be renewed when they next complete 12 or more academic units in two terms, provided they have a grade point average of 7.50/9.00 or higher in the two terms. Any student who takes neither a co-op, work experience work-term, or academic units for more than one term may forfeit the scholarship.",Varies,Financial Need,N/A,N/A,N/A,No,No,N/A,Canadian,7.5,30000,FALSE,FALSE
Alan J. Hodgson Memorial Scholarship in Music*,In-Course,TRUE,"One or more scholarships are awarded to academically outstanding undergraduate students entering or transferring into second, third or fourth year of the Bachelor of Music program. Preference will be given to students with demonstrated financial need. Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of the School of Music.",Varies,Financial Need,Music,N/A,02/03/2004,No,No,N/A,N/A,0,Varies,FALSE,FALSE
Alec Maclean Annual Award in Economics,In-Course,TRUE,One or more awards are given to transferring or continuing undergraduate students in the Department of Economics with demonstrated financial need. Approval of the recipients is made by the Senate Committee on Awards upon the recommendation of the Department of Economics.,Varies,Financial Need,Economics,N/A,N/A,No,No,N/A,N/A,0,Varies,FALSE,FALSE
Alexander and Glenda Kirk Award,In-Course,TRUE,Up to a maximum of three awards are given to students in a Major or Honours program in the Department of Chemistry who have a minimum 7.0/9.0 GPA. Preference is given to single parents or caregivers with demonstrated financial need and personal circumstances that prevent them from participating in co-op and/or work terms. If there are no eligible Chemistry students then the award may be given to students in a Major or Honours program in Biochemistry. Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of the Departments of Chemistry or Biochemistry and Microbiology,Varies,Single Parents/Caregivers,Chemistry/Biochemistry,N/A,N/A,No,No,N/A,N/A,7,Varies,FALSE,FALSE
All Our Relations Award,In-Course,TRUE,"One or more awards are given to Indigenous, Métis or Inuit undergraduate students in the Faculty of Human and Social Development entering the final year of their undergraduate program who demonstrate meaningful contributions to the well-being and resurgence of Indigenous Peoples during their academic program. These contributions may occur during community service with a particular First Nation or with Indigenous, Métis or Inuit peoples in an urban setting, or during fieldwork, co-op, practicum, community-engaged research, or other experiential learning. Applicants must provide a letter outlining a) their reasons for taking their chosen HSD program, and b) their connections with and contributions to the well-being and resurgence of Indigenous Peoples during the course of their academic program. Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of the Faculty of Human and Social Development. The awards will rotate from year to year, in this order, between following HSD Schools: Public Administration, Nursing, Public Health & Social Policy, Social Work, Health and Information Science, and Child and Youth Care.",Varies,Indigenous,Human and Social Development,N/A,Final Year,No,Yes,N/A,N/A,0,Varies,FALSE,FALSE
Allan and Elizabeth McKinnon Scholarship*,In-Course,TRUE,A scholarship is awarded to a senior student of high academic standing engaged in a Major or Honours program in Canadian history who would find it difficult to resume studies without financial aid. Approval of the recipient will be made by the Senate Committee on Awards upon the recommendation of the Department of History.,1,Financial Need,History,N/A,N/A,No,No,N/A,N/A,0,Varies,FALSE,FALSE
Allardice Lancaster Scholarship*,In-Course,TRUE,A scholarship is awarded to a student entering the fourth year of an Honours program in the Faculty of Humanities. Academic standing and participation in university and community activities will be considered.,1,N/A,Humanities,N/A,4,No,No,N/A,N/A,0,Varies,FALSE,FALSE
Allen P. James Scholarship*,In-Course,TRUE,"Two scholarships, one in the Department of Biology and one in the Department of Biochemistry and Microbiology, are awarded to academically outstanding undergraduate students entering fourth year who have a declared Major in a program offered in those departments. Applicants are required to submit a 300-500 word statement that describes their interest in pursuing basic science research either through graduate studies and/or a career in research. Students must have demonstrated financial need. Applicants must apply through the Student Awards and Financial Aid online in-course application accessible each year between April 1 and May 31. Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of the Departments of Biology and Biochemistry and Microbiology.",2,Financial Need,Biology/Biochemistry,N/A,4,No,No,N/A,N/A,0,Varies,FALSE,FALSE
Andrew Soles Memorial Scholarship*,In-Course,TRUE,"One or more scholarships are awarded to outstanding students who are registered in a B.A. program at the University of Victoria, and who are or were a resident in the Kootenay region of British Columbia.",Varies,Kootenay Region,N/A,N/A,N/A,No,No,N/A,N/A,0,Varies,FALSE,FALSE
